source_dataset,source_row_id,distance_km,distance_basis,prep_time_min,prep_basis,order_hour,is_weekend,weather,traffic,vehicle,delivery_time_min,split
zomato,0xcdcd,10.280582064621875,straight_line,15.0,order_to_pickup_proxy,21.0,1,fog,jam,motorcycle,46,train
zomato,0xd987,6.242318682701243,straight_line,10.0,order_to_pickup_proxy,14.0,1,storm,high,motorcycle,23,train
zomato,0x2784,13.787860239172547,straight_line,10.0,order_to_pickup_proxy,17.0,0,storm,medium,scooter,21,train
zomato,0xc8b6,2.9302578007621216,straight_line,10.0,order_to_pickup_proxy,9.0,1,storm,low,motorcycle,20,train
zomato,0xdb64,19.39661829066159,straight_line,15.0,order_to_pickup_proxy,19.0,0,fog,jam,scooter,41,train
zomato,0x3af3,13.763977224427641,straight_line,10.0,order_to_pickup_proxy,20.0,1,storm,jam,electric scooter,20,train
zomato,0x3aab,6.21800119018663,straight_line,15.0,order_to_pickup_proxy,14.0,0,wind,high,scooter,33,train
zomato,0x689b,16.849939918016492,straight_line,10.0,order_to_pickup_proxy,20.0,0,storm,jam,motorcycle,40,train
zomato,0x6f67,10.757108800258132,straight_line,10.0,order_to_pickup_proxy,20.0,1,cloudy,jam,motorcycle,41,train
zomato,0xc9cf,4.5405743887312955,straight_line,15.0,order_to_pickup_proxy,21.0,0,wind,jam,motorcycle,15,train
zomato,0x36b8,12.256076445468295,straight_line,5.0,order_to_pickup_proxy,20.0,0,storm,jam,motorcycle,36,test
zomato,0x5795,19.618739348801018,straight_line,15.0,order_to_pickup_proxy,22.0,0,storm,low,electric scooter,26,train
zomato,0x6c6b,1.5581322655568652,straight_line,15.0,order_to_pickup_proxy,8.0,0,storm,low,motorcycle,20,train
zomato,0xb816,20.180635114114718,straight_line,15.0,order_to_pickup_proxy,19.0,1,wind,jam,scooter,39,train
zomato,0x539b,6.116971669682334,straight_line,5.0,order_to_pickup_proxy,12.0,1,cloudy,high,motorcycle,34,train
zomato,0xa1b2,17.07559440107296,straight_line,15.0,order_to_pickup_proxy,18.0,1,clear,medium,electric scooter,15,train
